id,name,mana,attack,health,type,god,strategy
1185,Strix Hunter,4,2,5,creature,neutral,late
339,"Locusta, Solution Expert",6,2,4,creature,neutral,late
149,"Tyet, Heir To The Sky",9,6,9,creature,neutral,late
911,Tartessian Mob,7,3,2,creature,war,late
210,Fallen Aether,3,3,3,creature,neutral,late
1203,Highland Defender,4,4,3,creature,neutral,late
1232,Beastfury Shaman,3,2,3,creature,neutral,late
1112,Onyx Nightblade,2,1,2,creature,neutral,early
87066,Rune Writer,5,4,4,creature,magic,late
20,Dimension Looper,4,3,4,creature,magic,late
1238,Reconnaissance,2,0,0,spell,deception,early
835,Orfeo's Mask,5,0,2,weapon,deception,early
1224,Uncanny Rogue,4,4,3,creature,deception,late
1017,Revivification,1,0,0,spell,nature,early
151,The Gatekeeper,8,3,7,creature,neutral,late
357,Myrto's Daughter,5,2,2,creature,nature,late
100037,Phoenix Egg,1,0,2,creature,neutral,early
87052,Jump On!,4,0,0,spell,nature,early
1148,Battle Aurochs,3,3,3,creature,neutral,late
87051,Best Friends,1,0,0,spell,nature,early
929,Valka's Discovery,3,0,0,spell,war,early
1141,Dark Knives,1,0,0,spell,deception,early
1000,Dryder Sailweaver,1,2,2,creature,neutral,early
32,Spellwrought Angel,5,5,5,creature,light,late
1178,Soothsayer,4,2,3,creature,magic,late
885,"Helia, the Illuminator",7,6,6,creature,neutral,late
42,Dread Pirate,2,2,2,creature,neutral,early
17,Mimicus,1,1,1,creature,deception,early
160,Dangerous Ritual,2,0,0,spell,death,early
1210,Jinxblade Duelist,3,4,2,creature,deception,late
941,Spellbound Goblin,4,3,3,creature,magic,late
1057,Battle Cleric,5,2,2,creature,light,late
1011,Astric Implosion,6,0,0,spell,magic,early
917,Vow of Champions,2,0,0,spell,neutral,early
806,Skull Scepter,2,0,1,weapon,death,early
909,Antemion's Reflection,5,5,5,creature,magic,late
1201,Shield Maiden,2,2,3,creature,neutral,early
335,Reborn Pharaoh,3,3,2,creature,death,late
196,Master Tactician,2,2,2,creature,war,early
76,Set Oshi,6,3,4,creature,neutral,late
284,Dick Puddlecote,3,3,3,creature,neutral,late
1135,A Toast To Peace,6,0,0,spell,deception,early
87058,Soul Bargain,1,0,0,spell,death,early
861,Might Makes Right,4,0,0,spell,war,early
1088,Cyclops Defender,7,6,10,creature,neutral,late
61,Spellbound,1,0,0,spell,deception,early
299,Blacksmith Armourer,3,1,1,creature,war,early
1199,Pacifism,2,0,0,spell,light,early
927,Pallas' Incantation,6,0,0,spell,magic,early
66,Balance Ethereals,6,4,5,creature,neutral,late
854,Dream Stalker,5,2,3,creature,deception,late
315,Lord of Whispers,4,2,4,creature,deception,late
158,Wizened Warlock,3,2,2,creature,neutral,early
138,Hallowed Keeper,6,3,7,creature,neutral,late
329,Labyrinth Minotaur,6,4,7,creature,deception,late
1202,Raving Necromancer,2,3,2,creature,death,early
350,Beyond the Grave,1,0,0,spell,light,early
1213,Harp Cupid,6,2,4,creature,light,late
323,Anoint,2,0,0,spell,light,early
117,Runestorm,5,0,0,spell,magic,early
100057,Sterling Spear,2,2,3,weapon,neutral,early
884,Aetheric Alarm,3,0,5,weapon,light,late
268,Sphinx Cat,4,3,2,creature,neutral,late
867,Strength In Numbers,7,0,0,spell,war,early
290,Ambush,3,0,0,spell,deception,early
1239,Morgana's Grimoire,2,0,3,weapon,magic,early
100090,Hand Axe,0,2,1,weapon,war,early
312,Salvaged Sentinel,7,6,6,creature,magic,late
300,Guerilla Sabotage,3,0,0,spell,deception,early
100043,Broken Warrior,1,1,1,creature,neutral,early
919,Trial of the Shadows,7,0,0,spell,deception,early
100060,Banished Shadow,1,1,1,creature,neutral,early
1015,Staff of Shards,2,0,3,weapon,magic,early
292,Gunpowder Plot,4,0,0,spell,war,early
1222,Assassin's Aim,2,0,0,spell,deception,early
114,Tutankhamun,4,1,5,creature,neutral,late
70,Greed Banestrider,3,4,4,creature,death,late
1081,Arkmonian Anteater,1,1,3,creature,neutral,early
356,Jungle Shepherd,3,1,1,creature,light,early
1077,Trial Spirit,1,1,3,creature,neutral,early
317,Inquisitor's Summons,5,0,0,spell,light,early
1041,Tainted Treant,5,2,4,creature,nature,late
120,Astraea's Envoy,6,4,5,creature,neutral,late
845,Seasonal Rebirth,7,0,0,spell,nature,early
87056,Corpse Swallower,6,5,6,creature,death,late
1056,Helios Guardian,4,2,6,creature,light,late
100064,Barbed Hook,0,1,1,weapon,neutral,early
1085,Phase Touched Golem,3,3,3,creature,neutral,late
65001,Prometheus,6,10,10,creature,neutral,late
1022,Orcish Elite,5,2,5,creature,war,late
2,Siren of the Grave,1,2,2,creature,death,early
232,Unruly Shredder,2,1,4,creature,neutral,early
804,Necronomics,1,0,0,spell,death,early
90,Synergy Golem,3,3,4,creature,neutral,late
24,Midnight Cat,1,2,2,creature,neutral,early
100003,"Orax, Shield of Pain",4,0,4,weapon,war,late
223,Tithe Collector,2,1,3,creature,light,early
1161,Amazon Conscript,1,2,2,creature,nature,early
310,Equivalent Exchange,3,0,0,spell,magic,early
100112,Leech Life,3,0,0,god power,nature,early
78,Annoying Combatant,5,3,6,creature,neutral,late
805,Soul Charlatan,3,3,4,creature,death,late
1095,Dune Cavalry,3,3,4,creature,neutral,late
935,Guild Siren,2,2,3,creature,deception,early
1060,Patience Priestess,4,2,3,creature,light,late
1071,Pyrrhic Adolescent,4,4,4,creature,neutral,late
325,Mindful Orc,3,2,4,creature,neutral,late
80,Overclock,1,0,0,spell,deception,early
1027,Slip Blade,5,1,2,weapon,deception,late
1207,Dionysian Drunk,3,3,2,creature,deception,late
192,Actuary of War,4,2,3,creature,war,late
181,Daemonic Offering,3,0,0,spell,death,early
87077,Ransom,4,0,0,spell,deception,early
100920,First Pillar,4,2,5,creature,light,late
1211,Mire Bloodworm,3,1,4,creature,neutral,late
100036,Sentient Flameblades,0,5,2,weapon,war,early
87072,Glider Assailant,2,3,2,creature,deception,early
213,Prodigious Armourer,3,2,3,creature,war,late
34,Foolhardy Berserker,2,3,2,creature,neutral,early
100125,Thievery,0,0,0,god power,deception,early
1196,Triumvirate Prophet,3,1,2,creature,light,early
100055,Rune of Strength,2,0,0,spell,neutral,early
814,Rod of Rodents,3,1,2,weapon,magic,early
387,Protected Deamonbot,5,5,2,creature,neutral,late
1164,Tomb Torchbearer,1,1,1,creature,neutral,early
100147,Crocodile,3,4,3,creature,nature,late
227,Hollow Pillager,3,2,1,creature,neutral,early
44,Unnatural Binding,1,0,0,spell,death,early
48,Ignean Roulette,1,0,0,spell,deception,early
97,Glass Cannon,3,7,2,creature,neutral,late
400,First Phoenix,5,5,1,creature,nature,late
1006,Purification Filter,6,0,0,spell,light,early
940,Blessing of Magic,2,0,0,spell,magic,early
308,Take Them All On,2,0,0,spell,war,early
100039,Brash Chicken,1,2,2,creature,neutral,early
1194,Felid Assassin,1,3,1,creature,deception,early
246,Trojan Golem,2,2,1,creature,neutral,early
882,Burden of Proof,3,0,0,spell,light,early
28,Apate Conspirator,1,2,1,creature,deception,early
33,Sentinel Princess,1,2,2,creature,neutral,early
220,Field Nurse,1,1,2,creature,light,early
168,Lost In The Depths,1,0,0,spell,magic,early
321,Forty Days,2,0,0,spell,light,early
46,Untold Greed,1,0,0,spell,death,early
87053,Wildroot Staff,5,1,2,weapon,nature,late
100107,Undying Wish,2,0,0,god power,death,early
327,Canonize,5,0,0,spell,light,early
100106,Soul Burn,2,0,0,god power,death,early
87025,Reckless Flamebreather,8,5,5,creature,neutral,late
1053,Devouring Blade,4,2,2,weapon,war,late
240,Spelljam Shaman,4,2,3,creature,nature,late
19,Mountain Greatwyrm,7,4,9,creature,war,late
195,Cyclops,6,5,5,creature,war,late
314,Warp Engineer,2,1,3,creature,magic,early
374,Backstreet Bouncer,1,1,1,creature,neutral,early
87039,Peacebringer,8,4,7,creature,light,late
1195,Devoted Follower,2,3,2,creature,light,early
1032,Writhing Spirit,1,3,3,creature,death,early
148,Cambion Runelord,7,5,5,creature,neutral,late
846,"Dionysus, the Bountiful",9,8,8,creature,nature,late
1074,Pyrrhic Hatchling,2,2,3,creature,neutral,early
92,Runic Familiar,2,2,1,creature,magic,early
261,Blessed Jackalope,1,1,1,creature,light,early
87057,Necromantic,8,4,4,creature,death,late
376,Iron-tooth Goblin,2,2,2,creature,neutral,early
100104,Blastwave,2,0,0,god power,magic,early
351,Archimedes Mirror,6,1,6,creature,magic,late
243,Leywraith,6,4,5,creature,neutral,late
12,Sanctify,2,0,0,spell,light,early
41,Pocket Channeler,5,4,4,creature,magic,late
823,Arcane Burst,7,0,0,spell,magic,early
856,Pan Marauder,6,6,6,creature,deception,late
68,"Petard ""Elder""",3,3,2,creature,neutral,late
100072,Bomb,0,0,0,spell,deception,early
1145,The Nemean Lion,3,2,2,creature,neutral,early
1144,Athena's Conjurer,6,2,4,creature,neutral,late
27,Ashen Drake,7,6,5,creature,neutral,late
829,"Orfeo, Champion of Deception",1,1,1,creature,deception,early
216,Ruthless Caipora,5,3,3,creature,neutral,late
121,Agrodor Protector,4,3,5,creature,nature,late
85,Gleeful Pillager,2,1,2,creature,deception,early
1226,Aether Vanguard,6,4,4,creature,neutral,late
143,Pixielock,3,1,3,creature,neutral,early
178,Ancient Texts,1,0,0,spell,magic,early
1121,Anti-Magic Expert,8,3,10,creature,deception,late
13,Charm,8,0,0,spell,deception,late
279,Seraph,5,1,1,creature,light,early
853,Satyr Hypnotist,2,2,2,creature,deception,early
893,Parthene Guardian,2,1,1,creature,neutral,early
118,Penitent Spear,6,5,2,weapon,war,late
211,Deathsworn Raider,3,3,2,creature,war,late
100044,Pyroclast,1,1,1,creature,neutral,early
1215,Ghost Marauder,1,3,1,creature,neutral,early
100004,Ruin,2,0,0,god power,war,early
100009,Cultivate,2,0,0,god power,nature,early
281,Red Fume Dash,2,0,0,spell,war,early
100140,Battlethrall,1,1,1,creature,neutral,early
359,Bucking Bronco,5,4,3,creature,nature,late
45,Felid Tracker,2,5,1,creature,neutral,late
1099,Rampart,1,0,6,creature,neutral,early
177,Exoscout,6,4,5,creature,magic,late
100007,Shine,2,0,0,god power,light,early
1063,"Asterius, Glittering One",6,4,6,creature,light,late
298,Runaway Trebuchet,5,4,1,creature,war,late
1030,Sand Scorpion,5,1,4,creature,death,late
100041,Injured Soldier,1,1,2,creature,neutral,early
892,Diligent Architect,3,2,2,creature,neutral,early
1025,"Thalia, Charite Temptress",6,4,3,creature,deception,late
100047,Sleeper Golem,3,3,2,creature,deception,late
910,Arkmonian Hydra,7,6,6,creature,nature,late
87024,Achillean Dedicant,8,6,7,creature,neutral,late
857,Elixir of the Snake,6,0,0,spell,deception,early
1168,Oliphaunt Mount,7,7,7,creature,nature,late
100127,Magebolt,3,0,0,god power,magic,early
936,Battle Priest,3,2,4,creature,light,late
172,Wild Spellsinger,6,5,6,creature,neutral,late
1129,End Times,8,0,0,spell,death,late
100070,"Octavia, Manashard Queen",1,7,7,creature,neutral,late
347,Nightmare,1,0,0,spell,deception,early
816,Recovered Knowledge,3,0,0,spell,magic,early
1029,Bombfly,1,2,1,creature,death,early
100144,Acolyte,1,2,2,creature,light,early
182,High Thaumaturge,2,1,2,creature,light,early
1,Nethergram,7,0,0,spell,death,early
1109,"Porphyrion, Dread Cyclops",7,7,8,creature,neutral,late
30,Radiant Guardian,7,5,7,creature,light,late
87022,Anubian Usher,7,8,6,creature,neutral,late
276,Vile Mantis,4,3,2,creature,death,late
1007,Darkdream Hex,3,0,0,spell,deception,early
8,Eternal Servant,3,1,3,creature,death,early
822,Mana Auditor,6,4,4,creature,magic,late
899,Thebian Strategos,5,2,6,creature,neutral,late
251,Flying Carpet,1,3,1,creature,magic,early
1136,Deadly Arsenal,1,0,0,spell,war,early
87074,Secrets Broker,5,5,4,creature,deception,late
1227,Veteran Cataphract,7,6,6,creature,neutral,late
859,Hierophant Silenus,5,4,3,creature,deception,late
1243,Tracking Bolt,2,0,0,spell,magic,early
87067,Illuminate,1,0,0,spell,magic,early
1175,Veteran Archer,4,2,3,creature,neutral,late
100884,Aetheric Echo,1,0,2,creature,light,early
870,"Hyrtacus, Brazen Hero",6,3,6,creature,war,late
282,Rune Smuggler,6,4,5,creature,neutral,late
96,Blade Trader Drosis,3,3,3,creature,neutral,late
128,Cudgel of Atonement,1,2,2,weapon,light,early
157,Furies,7,3,3,creature,war,late
65004,Citadel of the Gods,1,0,0,spell,neutral,early
163,Mercenary Daemon,5,6,5,creature,war,late
1229,Void Banshee,2,4,3,creature,death,late
812,Form of Wisdom,2,0,0,spell,magic,early
100123,Slayer,3,0,0,god power,war,early
807,Ataraxia,4,0,0,spell,death,early
1016,Inferno,7,0,0,spell,magic,early
100067,Giant Elk,2,2,3,creature,nature,early
890,Frumentarii Instigator,4,3,4,creature,neutral,late
87036,Battlement Luminary,2,2,1,creature,light,early
100105,Discovery,2,0,0,god power,magic,early
1005,Imperious Smite,4,0,0,spell,light,early
1044,Staff of Roots,2,1,2,weapon,nature,early
79,Hunger Daemon,3,3,3,creature,death,late
1079,Sentient Amphora,2,0,2,creature,neutral,early
56,Pharaoh's Body-Double,2,2,1,creature,light,early
1184,Tomb Blademaster,7,3,4,creature,neutral,late
87026,Apep's Doomcaller,8,6,8,creature,neutral,late
187,Hooded Doppelganger,6,6,5,creature,neutral,late
214,Shrine of Sothek,3,0,2,creature,nature,early
836,Frenzied Ritual,4,0,0,spell,nature,early
813,Academy Familiar,1,1,3,creature,magic,early
141,Underhand Thug,3,1,2,creature,deception,early
87071,Lambasting Wand,2,1,3,weapon,magic,early
107,Erratic Summons,2,0,0,spell,magic,early
65002,Atlas,7,10,10,creature,neutral,late
103,Shadow Prince,7,5,7,creature,magic,late
1234,Born Again,6,0,0,spell,light,early
119,Golden Harpe,3,0,3,weapon,light,early
250,Three's a Crowd,6,0,0,spell,deception,early
100133,Ancient Executioner,3,3,2,creature,neutral,late
136,Cyrene's Blessing,2,0,0,spell,nature,early
22,"Anubis, Guide of Souls",6,5,6,creature,neutral,late
87011,Hoplite Initiate,3,1,4,creature,neutral,late
837,Enchanted Vines,6,0,0,spell,nature,early
1171,Double Dealer,7,2,1,creature,deception,late
1026,Lokian Disciple,7,6,8,creature,deception,late
234,Guardian of the Gates,3,1,1,creature,magic,early
208,Thresher Bug,2,2,2,creature,nature,early
100910,Hydra Head,2,3,2,creature,nature,early
100128,Amazon Recruit,1,1,1,creature,neutral,early
179,Trapdoor Assassin,2,4,1,creature,deception,early
84,Arcane Transcendent,3,3,3,creature,magic,late
904,Ghostly Chariot,3,2,3,creature,neutral,late
1166,Bladefly,4,2,2,creature,nature,late
134,Compost Charm,2,0,0,spell,nature,early
1122,Mana Toad,3,2,1,creature,magic,early
57,Swelling Boon,5,0,0,spell,nature,early
1247,Seeing Stone,1,0,0,spell,magic,early
100141,Huscarl,1,1,1,creature,neutral,early
1082,Tribal Orc,1,2,2,creature,neutral,early
54,Scarab Swarm,1,1,2,creature,neutral,early
1150,Spartan,3,2,3,creature,neutral,late
87004,Wild Hog,1,2,3,creature,neutral,early
288,Ra's Ascension,4,0,0,spell,light,early
881,Dowsing Blade,1,1,1,weapon,light,early
1049,"Gersemi, Freyja's Spear",3,4,2,creature,nature,late
291,Faraday Cage,4,0,0,spell,magic,early
386,Shadow Banisher,4,0,6,weapon,magic,late
275,Bearstrider,4,2,5,creature,war,late
272,Venerable Gryphon,2,3,4,creature,neutral,late
88,Shady Merchant,3,1,3,creature,deception,early
1059,Holy Enchanter,4,2,4,creature,light,late
166,The Nether Prince,6,7,8,creature,neutral,late
100143,Destructive Dagger,2,1,1,weapon,neutral,early
1134,Void Flash,4,0,0,spell,death,early
811,Hippacria's Monster,9,0,1,creature,death,late
43,Simple Satyr,1,1,2,creature,nature,early
394,Aether Chest,3,0,6,creature,neutral,late
100116,Heaven's Light,2,0,0,god power,light,early
125,Enflame Self,1,0,0,spell,death,early
924,Neferu's Will,5,0,0,spell,death,early
1066,Void Drake,7,7,5,creature,neutral,late
1162,Singsong Satyr,4,2,3,creature,neutral,late
72,Scythes of the Harvest,4,4,2,weapon,war,late
274,Crush Construct,6,8,8,creature,neutral,late
1163,"Zaxiom, Cryptic Panther",5,4,4,creature,neutral,late
87043,Pluck From Fate,3,0,0,spell,light,early
933,Blessing of Deception,2,0,0,spell,deception,early
301,Druidic Summons,4,0,0,spell,nature,early
944,Sudden Rally,3,0,0,spell,nature,early
58,Nullmaw,5,7,6,creature,neutral,late
100126,Clear Mind,2,0,0,god power,magic,early
100139,Demonic Skull,10,9,9,creature,death,late
1149,"Hector, Prince of Troy",7,6,6,creature,war,late
140,Death Masque,4,3,5,creature,neutral,late
1103,Tomb Priest,4,4,4,creature,neutral,late
87041,Commune With The Light,3,0,0,spell,light,early
337,"Pandora, The Curious",4,2,5,creature,neutral,late
100131,Skeleton,1,1,1,creature,neutral,early
903,Pious Giant,6,6,6,creature,neutral,late
341,Merchant Prince,4,2,4,creature,deception,late
901,Student of Society,1,1,2,creature,neutral,early
87002,Barricade,2,1,4,creature,neutral,early
111,Soul Jar,3,0,3,creature,neutral,early
384,Magic Missile Launcher,4,3,2,weapon,war,late
381,Arcane Sphere,1,1,2,creature,neutral,early
263,Crimson Oni,4,6,5,creature,death,late
1094,Viking Outrider,3,4,3,creature,neutral,late
358,Avatar of Magic,9,9,9,creature,magic,late
167,Sulphuric Rain,1,0,0,spell,death,early
913,Ludia's Deception,1,0,0,spell,deception,early
1043,Nefarious Briar,4,3,4,creature,nature,late
87010,Jailbeast,3,3,2,creature,neutral,late
802,Forbidden Experiment,1,0,0,spell,death,early
863,Nokkvi Pillager,3,3,3,creature,war,late
1031,Vampiric Skull,6,6,6,creature,death,late
289,Alms For Service,1,0,0,spell,light,early
945,Blessing of War,3,0,0,spell,war,early
100129,Walking Tree,2,2,2,creature,nature,early
115,Master of Surprises,6,8,5,creature,deception,late
171,Will O' Wisp,2,1,1,creature,light,early
100058,Glamoured Gladius,2,1,3,weapon,neutral,early
206,Leviathan Hunter,1,2,1,creature,neutral,early
1102,Auric Mage,6,3,4,creature,war,late
194,Raving Fan,1,0,2,creature,neutral,early
87015,Flamecaller,5,1,2,creature,neutral,late
316,Well of Power,5,0,0,spell,magic,early
894,Satyr Outcast,1,1,3,creature,neutral,early
1126,Tartessian Improviser,1,2,1,creature,war,early
87014,Underbridge Assailant,4,5,3,creature,neutral,late
65000,Hyperion,1,10,10,creature,neutral,late
843,Steadfast Scout,3,1,3,creature,nature,early
1023,Mercenary Troop,4,0,0,spell,war,early
1181,Combat Medic,3,3,3,creature,neutral,late
248,Reflection Elementalist,5,3,4,creature,neutral,late
1062,Illuminated Warrior,1,2,2,creature,light,early
923,Trial of the Innocents,6,0,0,spell,war,early
241,Servant of Inti,3,5,1,creature,neutral,late
87034,Over-proof Brew,5,0,0,spell,war,early
100066,Warrior,2,2,2,creature,war,early
937,Healing Light,4,0,0,spell,light,early
1124,Patron's Sacrament,1,0,0,spell,light,early
7,Broken Harvester,1,1,5,creature,neutral,early
100138,Netherspawn,6,6,6,creature,neutral,late
833,Valka's Axe,5,0,1,weapon,war,early
25,"Odin, Endless War",8,5,5,creature,war,late
257,La Bolefuego,5,3,5,creature,neutral,late
21,"Osiris, the Eternal",3,3,4,creature,light,late
1216,Town Guardian,4,3,4,creature,neutral,late
100038,Chicken Egg,1,0,3,creature,neutral,early
803,Return to the Cave,1,0,0,spell,death,early
16,Faustian Pact,3,0,0,spell,death,early
94,Demogorgon,7,4,6,creature,neutral,late
1076,Battlebard,1,2,1,creature,neutral,early
98,The Sky Reaver,5,5,5,creature,neutral,late
100,"Hercules, Son of Zeus",7,6,7,creature,neutral,late
173,Blade Trial Valkyrie,6,4,4,creature,war,late
87037,Barbed Portcullis,3,2,4,creature,neutral,late
352,Arcana-Daemon,3,4,2,creature,magic,late
1104,Catapult,5,0,5,creature,neutral,late
100130,Impling,1,1,1,creature,neutral,early
880,Tartessian Sentry,4,3,3,creature,light,late
872,Fortify,2,0,0,spell,light,early
1158,Switch Duelist,1,3,1,creature,deception,early
1111,Frost Giant Deadshot,6,4,5,creature,neutral,late
1160,Athenian Archer,1,1,2,creature,neutral,early
164,Azure Djinni,7,6,4,creature,neutral,late
31,Photogenesis,7,0,0,spell,nature,early
898,Injured Hetairoi,4,4,6,creature,neutral,late
390,Golden Sabre,2,2,3,weapon,light,early
36,Natural Selection,2,0,0,spell,nature,early
1123,Guerilla Training,2,0,0,spell,nature,early
105,Pilgrim of the Cause,2,1,2,creature,light,early
67,Golem Centurion,7,5,7,creature,neutral,late
87075,Wiznapper,8,5,4,creature,deception,late
1257,Pyreshell Beetle,1,1,3,creature,neutral,early
3,Amazon Hearteater,5,4,4,creature,death,late
1083,Planetar Centurion,7,7,7,creature,neutral,late
87031,Fury,1,0,0,spell,war,early
1020,Zealous March,8,0,0,spell,light,late
280,Laertes' Vendetta,4,0,0,spell,deception,early
311,Arms Trafficker,2,1,4,creature,neutral,early
922,Trial of the Hydra,5,0,0,spell,nature,early
254,Primal Guidance,1,0,0,spell,nature,early
1173,Wicked Fae,2,1,1,creature,neutral,early
87009,Hunt Warden,3,3,4,creature,neutral,late
87080,Poisoned Dagger,4,3,1,weapon,deception,late
87061,Rebuild Differently,7,0,0,spell,death,early
868,Bladesworn Warrior,4,3,3,creature,war,late
252,Sleep Dart,2,0,0,spell,deception,early
294,Cavern Arachne,5,5,6,creature,neutral,late
331,Identity Thief,7,4,4,creature,deception,late
87050,Untamed Regrowth,3,0,0,spell,nature,early
87017,Summoner's Guide,5,2,5,creature,neutral,late
1248,Assistant Alchemist,1,2,2,creature,magic,early
819,"Archimea, Arithmancer",5,3,5,creature,magic,late
63,Uproot,2,0,0,spell,nature,early
1218,Eager Nobleborn,2,2,1,creature,neutral,early
815,Aether Herald,2,2,2,creature,magic,early
1251,Prescient Spellbinder,3,3,3,creature,magic,late
403,Blessed Ibis,7,4,5,creature,neutral,late
100051,Heavy Anim,2,2,3,creature,neutral,early
100048,Aching Disciple,1,3,1,creature,neutral,early
95,That Which Aches,6,3,7,creature,neutral,late
39,Arrest Warrant,6,0,0,spell,light,early
862,Commander's Gladius,2,1,2,weapon,war,early
100008,Seer,2,0,0,god power,magic,early
236,Stun Gun Construct,4,4,3,creature,neutral,late
1254,Ratify,5,0,0,spell,magic,early
249,Netherborne Binder,1,2,3,creature,neutral,early
949,Dragonkin Caller,4,3,3,creature,neutral,late
100071,Rat,0,1,1,creature,neutral,early
326,Devout Cleric,1,1,3,creature,light,early
1004,Opalised Roots,6,0,0,spell,nature,early
188,Rockdrake Egg,2,0,6,creature,neutral,late
855,Elixir of the Panther,5,0,0,spell,deception,early
127,Corrupt Ceremony,1,0,0,spell,death,early
1042,Overgrown Rhino,4,5,5,creature,nature,late
355,Eager Gryphon,2,2,3,creature,neutral,early
1003,Arkmonian Onslaught,5,0,0,spell,nature,early
912,Tartessian Pear,4,0,3,weapon,war,early
100110,Forage,2,0,0,god power,nature,early
1113,Helian Blademaster,6,5,5,creature,neutral,late
6,Ancient Curse,3,0,0,spell,deception,early
820,Form of Power,1,0,0,spell,magic,early
874,Olympian Guard,2,1,2,creature,light,early
1115,Hunting Trap,2,0,0,spell,deception,early
